tank_id,dmg,frg,spo,def,win,battles,type,tier,tag
1,486.455,0.976,1.372,1.122,54.922,218825076,mediumTank,5,R04_T-34
33,610.497,1.238,1.555,1.187,56.005,25211427,heavyTank,5,A21_T14
49,1110.654,0.884,1.582,0.910,51.689,486734542,mediumTank,8,Ch01_Type59
81,220.447,1.674,0.927,1.289,57.686,5794400,mediumTank,1,GB01_Medium_Mark_I
113,228.259,1.572,0.835,1.174,58.385,2998788,lightTank,1,Cz06_Kolohousenka
129,214.596,1.463,1.296,1.265,58.488,1675787,lightTank,1,S05_Strv_M21_29
145,770.247,0.974,1.333,0.801,54.485,11083241,mediumTank,6,Pl03_PzV_Poland
161,233.359,1.630,0.985,1.573,58.049,2356086,lightTank,1,It04_Fiat_3000
257,579.370,1.120,0.538,1.272,54.404,139017685,AT-SPG,5,R02_SU-85
273,918.094,1.012,0.075,1.291,51.421,268159066,SPG,6,G02_Hummel
289,282.220,1.058,2.162,1.550,56.801,6839479,lightTank,3,A03_M3_Stuart
305,666.867,0.685,2.576,0.698,52.129,57071797,lightTank,7,Ch02_Type62
321,307.226,1.209,0.812,1.653,58.121,1334467,mediumTank,3,F03_D2
337,249.900,1.394,0.930,1.253,56.565,2045819,mediumTank,2,GB05_Vickers_Medium_Mk_II
353,239.649,1.353,1.188,1.469,57.618,527428,mediumTank,2,J15_Chi_Ni
369,242.579,1.207,1.350,1.511,56.521,1585428,lightTank,2,Cz03_LT_vz35
385,259.521,1.317,1.320,1.335,57.336,1956395,lightTank,2,S03_Strv_M38
401,243.927,0.846,0.957,1.432,54.687,2445421,lightTank,2,Pl01_TKS_20mm
417,293.181,1.302,1.361,1.737,57.153,883375,lightTank,2,It05_Carro_L6_40
513,1026.404,0.979,1.012,0.829,53.428,544455018,heavyTank,7,R01_IS
529,1068.187,0.942,0.986,1.029,53.620,380192168,heavyTank,7,G04_PzVI_Tiger_I
545,199.596,1.549,1.881,1.431,58.031,17182825,lightTank,1,A01_T1_Cunningham
561,1238.654,0.903,1.428,0.721,51.191,2259202,mediumTank,8,Ch01_Type59_Gold
577,203.858,1.447,1.211,1.889,57.762,967471,lightTank,1,F01_RenaultFT
593,248.067,1.365,2.102,1.464,58.146,3246128,lightTank,2,GB14_M2
609,204.380,1.532,1.116,1.752,57.742,2582253,lightTank,1,J01_NC27
625,302.168,0.938,1.042,1.474,55.810,3621027,lightTank,3,Cz10_LT_vz38
641,345.298,1.161,1.337,1.563,56.510,5044817,lightTank,3,S12_Strv_M40
673,308.011,1.479,0.940,1.606,58.833,2241040,mediumTank,2,It06_M14_41
769,265.906,0.928,2.129,1.264,55.894,5359281,lightTank,4,R03_BT-7
785,233.877,1.356,1.499,1.782,57.285,13660301,lightTank,2,G07_Pz35t
801,796.520,0.968,1.023,0.902,53.724,101330249,heavyTank,6,A10_M6
817,1234.617,0.906,1.303,0.700,52.240,108170815,heavyTank,8,Ch03_WZ-111
833,219.038,1.329,0.119,1.349,56.453,3321224,SPG,2,F20_RenaultBS
849,450.611,1.119,0.778,1.582,55.880,140079639,mediumTank,4,GB07_Matilda
865,244.172,1.341,1.444,1.427,56.778,1145304,lightTank,2,J03_Ha_Go
881,374.948,0.957,1.181,1.330,55.907,5016560,mediumTank,4,Cz11_V_8_H
897,390.707,0.990,1.280,1.106,55.273,7872489,mediumTank,4,S04_Lago_I
913,1347.040,0.867,1.000,0.452,53.070,27638497,heavyTank,8,Pl08_50TP_prototyp
929,395.223,1.320,1.090,1.491,56.301,5038512,mediumTank,3,It03_M15_42
1025,234.207,1.312,1.700,1.455,56.837,39370012,lightTank,2,R08_BT-2
1041,580.781,1.110,0.699,1.391,54.179,176768840,AT-SPG,5,G05_StuG_40_AusfG
1057,520.365,1.057,1.370,1.005,54.822,115352988,mediumTank,5,A05_M4_Sherman
1073,912.003,0.912,1.466,0.982,54.398,90172738,mediumTank,7,Ch04_T34_1
1089,397.801,1.146,1.112,1.420,55.659,5494188,heavyTank,4,F04_B1
1105,698.389,0.990,1.860,0.994,54.357,266191260,mediumTank,6,GB21_Cromwell
1121,907.352,0.890,1.005,1.095,51.566,62216251,mediumTank,7,J11_Chi_Ri
1137,486.093,0.852,1.421,1.108,54.418,34738428,mediumTank,5,Cz09_T_24
1153,500.706,0.908,1.175,1.003,53.993,23665417,mediumTank,5,S02_Strv_M42
1169,237.781,1.408,1.527,1.362,58.379,1828157,lightTank,1,Pl14_4TP
1185,451.454,1.130,1.070,0.945,55.628,12377877,mediumTank,4,It07_P26_40
1297,893.049,0.879,1.246,1.190,53.851,129418932,mediumTank,7,G03_PzV_Panther
1313,691.427,0.971,1.419,1.105,54.838,32673940,mediumTank,6,A06_M4A3E8_Sherman
1329,221.943,1.671,1.284,1.767,56.581,5077256,lightTank,1,Ch06_Renault_NC31
1345,249.257,1.380,1.046,2.034,58.460,8688394,lightTank,2,F12_Hotchkiss_H35
1361,299.843,1.130,1.760,1.568,57.385,788646,lightTank,3,GB15_Stuart_I
1377,488.181,0.914,1.187,1.090,54.456,30293951,mediumTank,5,J08_Chi_Nu
1393,722.840,0.914,1.417,1.005,53.169,163309426,mediumTank,6,Cz08_T_25
1409,739.588,0.937,1.084,1.010,53.460,70886407,mediumTank,6,S07_Strv_74
1425,307.978,1.437,0.997,1.447,58.748,1829630,lightTank,2,Pl09_7TP
